No.,Mid(100),Topic-M,T1,Topic-1,T2,Topic-2,T3,Topic-3,T4,Topic-4,T5,Topic-5,Tut (80),PCT (180),Comp(45),Comp(75),Comp(120),CT(300)
1,13,"K&K 2,3,4,6",0,"K&K 2,3",9,K&K 4,4,K&K 6,0,"A.P F 3,4",0,A.P F 5,18,31,6,0,6,37
2,35,"K&K 2,3,4,6",1,"K&K 2,3",11,K&K 4,15,K&K 6,0,"A.P F 3,4",3,A.P F 5,40,75,15,16,31,106
3,37,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",11,A.P F 5,80,117,11,5,16,133
4,13,"K&K 2,3,4,6",13,"K&K 2,3",11,K&K 4,15,K&K 6,11,"A.P F 3,4",15,A.P F 5,72,85,2,1,3,88
5,23,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,6,K&K 6,6,"A.P F 3,4",0,A.P F 5,43,66,14,7,21,87
6,9,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,3,12,8,13,21,33
7,50,"K&K 2,3,4,6",15,"K&K 2,3",13,K&K 4,15,K&K 6,15,"A.P F 3,4",5,A.P F 5,78,128,12,7,19,147
8,32,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,2,K&K 6,0,"A.P F 3,4",15,A.P F 5,43,75,27,16,43,118
9,75,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,5,"A.P F 3,4",0,A.P F 5,7,82,15,5,20,102
10,56,"K&K 2,3,4,6",15,"K&K 2,3",3,K&K 4,8,K&K 6,12,"A.P F 3,4",14,A.P F 5,66,122,9,17,26,148
11,12,"K&K 2,3,4,6",5,"K&K 2,3",8,K&K 4,10,K&K 6,10,"A.P F 3,4",4,A.P F 5,44,56,8,7,15,71
12,49,"K&K 2,3,4,6",12,"K&K 2,3",15,K&K 4,8,K&K 6,15,"A.P F 3,4",3,A.P F 5,67,116,6,3,9,125
13,35,"K&K 2,3,4,6",14,"K&K 2,3",8,K&K 4,6,K&K 6,15,"A.P F 3,4",11,A.P F 5,64,99,6,11,17,116
14,42,"K&K 2,3,4,6",3,"K&K 2,3",6,K&K 4,15,K&K 6,15,"A.P F 3,4",9,A.P F 5,60,102,21,2,23,125
15,52,"K&K 2,3,4,6",13,"K&K 2,3",13,K&K 4,15,K&K 6,9,"A.P F 3,4",13,A.P F 5,72,124,7,12,19,143
16,60,"K&K 2,3,4,6",10,"K&K 2,3",15,K&K 4,14,K&K 6,15,"A.P F 3,4",11,A.P F 5,74,134,30,24,54,188
17,91,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,7,K&K 6,15,"A.P F 3,4",12,A.P F 5,75,166,33,25,58,224
18,40,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,0,"A.P F 3,4",15,A.P F 5,80,120,6,11,17,137
19,62,"K&K 2,3,4,6",7,"K&K 2,3",15,K&K 4,14,K&K 6,15,"A.P F 3,4",10,A.P F 5,72,134,35,37,72,206
20,46,"K&K 2,3,4,6",4,"K&K 2,3",9,K&K 4,8,K&K 6,3,"A.P F 3,4",0,A.P F 5,32,78,17,4,21,99
21,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,3,K&K 6,5,"A.P F 3,4",0,A.P F 5,11,11,3,1,4,15
22,0,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,0,0,0,0,0
23,56,"K&K 2,3,4,6",11,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,136,28,13,41,177
24,42,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,0,K&K 6,1,"A.P F 3,4",0,A.P F 5,40,82,19,14,33,115
25,2,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,2,0,0,0,2
26,32,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,0,"A.P F 3,4",15,A.P F 5,80,112,5,2,7,119
27,76,"K&K 2,3,4,6",4,"K&K 2,3",15,K&K 4,5,K&K 6,6,"A.P F 3,4",0,A.P F 5,40,116,37,19,56,172
28,18,"K&K 2,3,4,6",3,"K&K 2,3",15,K&K 4,11,K&K 6,13,"A.P F 3,4",15,A.P F 5,72,90,18,0,18,108
29,31,"K&K 2,3,4,6",5,"K&K 2,3",15,K&K 4,11,K&K 6,5,"A.P F 3,4",6,A.P F 5,50,81,11,6,17,98
30,36,"K&K 2,3,4,6",2,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",15,A.P F 5,66,102,26,10,36,138
31,3,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,2,K&K 6,1,"A.P F 3,4",0,A.P F 5,4,7,0,0,0,7
32,90,"K&K 2,3,4,6",13,"K&K 2,3",15,K&K 4,12,K&K 6,15,"A.P F 3,4",15,A.P F 5,78,168,30,36,66,234
33,40,"K&K 2,3,4,6",6,"K&K 2,3",8,K&K 4,12,K&K 6,2,"A.P F 3,4",15,A.P F 5,55,95,14,2,16,111
34,72,"K&K 2,3,4,6",10,"K&K 2,3",3,K&K 4,12,K&K 6,11,"A.P F 3,4",9,A.P F 5,56,128,26,14,40,168
35,15,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,10,"A.P F 3,4",6,A.P F 5,22,37,2,0,2,39
36,31,"K&K 2,3,4,6",1,"K&K 2,3",8,K&K 4,7,K&K 6,4,"A.P F 3,4",12,A.P F 5,42,73,10,13,23,96
37,12,"K&K 2,3,4,6",8,"K&K 2,3",8,K&K 4,0,K&K 6,15,"A.P F 3,4",15,A.P F 5,62,74,13,2,15,89
38,51,"K&K 2,3,4,6",15,"K&K 2,3",5,K&K 4,15,K&K 6,9,"A.P F 3,4",1,A.P F 5,59,110,20,8,28,138
39,30,"K&K 2,3,4,6",10,"K&K 2,3",13,K&K 4,15,K&K 6,12,"A.P F 3,4",15,A.P F 5,74,104,20,19,39,143
40,49,"K&K 2,3,4,6",15,"K&K 2,3",8,K&K 4,8,K&K 6,13,"A.P F 3,4",15,A.P F 5,68,117,29,12,41,158
41,0,"K&K 2,3,4,6",0,"K&K 2,3",3,K&K 4,0,K&K 6,0,"A.P F 3,4",1,A.P F 5,6,6,15,2,17,23
42,56,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,0,K&K 6,15,"A.P F 3,4",12,A.P F 5,76,132,19,17,36,168
43,18,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,9,K&K 6,6,"A.P F 3,4",15,A.P F 5,60,78,13,4,17,95
44,33,"K&K 2,3,4,6",7,"K&K 2,3",0,K&K 4,1,K&K 6,1,"A.P F 3,4",0,A.P F 5,12,45,9,3,12,57
45,18,"K&K 2,3,4,6",14,"K&K 2,3",10,K&K 4,9,K&K 6,13,"A.P F 3,4",15,A.P F 5,70,88,3,0,3,91
46,8,"K&K 2,3,4,6",0,"K&K 2,3",3,K&K 4,3,K&K 6,0,"A.P F 3,4",0,A.P F 5,8,16,6,16,22,38
47,28,"K&K 2,3,4,6",0,"K&K 2,3",13,K&K 4,13,K&K 6,0,"A.P F 3,4",2,A.P F 5,38,66,9,7,16,82
48,41,"K&K 2,3,4,6",4,"K&K 2,3",6,K&K 4,0,K&K 6,0,"A.P F 3,4",8,A.P F 5,24,65,15,5,20,85
49,40,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,3,K&K 6,2,"A.P F 3,4",7,A.P F 5,17,57,16,12,28,85
50,56,"K&K 2,3,4,6",15,"K&K 2,3",10,K&K 4,15,K&K 6,5,"A.P F 3,4",15,A.P F 5,74,130,20,11,31,161
51,39,"K&K 2,3,4,6",1,"K&K 2,3",15,K&K 4,10,K&K 6,10,"A.P F 3,4",6,A.P F 5,54,93,22,9,31,124
52,17,"K&K 2,3,4,6",3,"K&K 2,3",5,K&K 4,14,K&K 6,6,"A.P F 3,4",1,A.P F 5,38,55,6,6,12,67
53,37,"K&K 2,3,4,6",12,"K&K 2,3",1,K&K 4,4,K&K 6,12,"A.P F 3,4",13,A.P F 5,55,92,17,8,25,117
54,13,"K&K 2,3,4,6",1,"K&K 2,3",11,K&K 4,7,K&K 6,5,"A.P F 3,4",0,A.P F 5,32,45,0,0,0,45
55,43,"K&K 2,3,4,6",12,"K&K 2,3",13,K&K 4,15,K&K 6,3,"A.P F 3,4",9,A.P F 5,66,109,18,23,41,150
56,5,"K&K 2,3,4,6",0,"K&K 2,3",5,K&K 4,2,K&K 6,1,"A.P F 3,4",7,A.P F 5,20,25,15,4,19,44
57,34,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,8,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,114,13,14,27,141
58,47,"K&K 2,3,4,6",5,"K&K 2,3",0,K&K 4,14,K&K 6,0,"A.P F 3,4",7,A.P F 5,35,82,22,11,33,115
59,30,"K&K 2,3,4,6",2,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",12,A.P F 5,62,92,25,10,35,127
60,35,"K&K 2,3,4,6",3,"K&K 2,3",7,K&K 4,10,K&K 6,9,"A.P F 3,4",12,A.P F 5,51,86,10,8,18,104
61,9,"K&K 2,3,4,6",3,"K&K 2,3",10,K&K 4,2,K&K 6,1,"A.P F 3,4",0,A.P F 5,22,31,1,0,1,32
62,32,"K&K 2,3,4,6",0,"K&K 2,3",13,K&K 4,15,K&K 6,15,"A.P F 3,4",14,A.P F 5,76,108,17,4,21,129
63,14,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,14,9,3,12,26
64,61,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,10,K&K 6,15,"A.P F 3,4",8,A.P F 5,74,135,17,17,34,169
65,75,"K&K 2,3,4,6",10,"K&K 2,3",13,K&K 4,12,K&K 6,13,"A.P F 3,4",10,A.P F 5,64,139,21,10,31,170
66,43,"K&K 2,3,4,6",14,"K&K 2,3",14,K&K 4,5,K&K 6,6,"A.P F 3,4",2,A.P F 5,52,95,14,5,19,114
67,30,"K&K 2,3,4,6",1,"K&K 2,3",14,K&K 4,2,K&K 6,2,"A.P F 3,4",8,A.P F 5,35,65,3,5,8,73
68,29,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,11,K&K 6,15,"A.P F 3,4",14,A.P F 5,79,108,20,25,45,153
69,57,"K&K 2,3,4,6",6,"K&K 2,3",13,K&K 4,7,K&K 6,4,"A.P F 3,4",0,A.P F 5,40,97,32,51,83,180
70,31,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,0,K&K 6,0,"A.P F 3,4",0,A.P F 5,0,31,0,0,0,31
71,23,"K&K 2,3,4,6",2,"K&K 2,3",0,K&K 4,10,K&K 6,15,"A.P F 3,4",15,A.P F 5,56,79,3,4,7,86
72,80,"K&K 2,3,4,6",8,"K&K 2,3",15,K&K 4,3,K&K 6,15,"A.P F 3,4",4,A.P F 5,56,136,29,21,50,186
73,2,"K&K 2,3,4,6",0,"K&K 2,3",5,K&K 4,6,K&K 6,4,"A.P F 3,4",9,A.P F 5,32,34,5,3,8,42
74,28,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",12,A.P F 5,76,104,30,7,37,141
75,30,"K&K 2,3,4,6",10,"K&K 2,3",0,K&K 4,15,K&K 6,2,"A.P F 3,4",11,A.P F 5,51,81,6,5,11,92
76,14,"K&K 2,3,4,6",7,"K&K 2,3",13,K&K 4,15,K&K 6,3,"A.P F 3,4",15,A.P F 5,67,81,7,2,9,90
77,22,"K&K 2,3,4,6",12,"K&K 2,3",14,K&K 4,9,K&K 6,13,"A.P F 3,4",7,A.P F 5,64,86,12,3,15,101
78,18,"K&K 2,3,4,6",0,"K&K 2,3",7,K&K 4,4,K&K 6,1,"A.P F 3,4",11,A.P F 5,31,49,3,9,12,61
79,42,"K&K 2,3,4,6",9,"K&K 2,3",15,K&K 4,8,K&K 6,1,"A.P F 3,4",15,A.P F 5,63,105,8,0,8,113
80,67,"K&K 2,3,4,6",0,"K&K 2,3",0,K&K 4,2,K&K 6,15,"A.P F 3,4",15,A.P F 5,43,110,31,28,59,169
81,20,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,8,K&K 6,8,"A.P F 3,4",0,A.P F 5,42,62,2,12,14,76
82,9,"K&K 2,3,4,6",1,"K&K 2,3",0,K&K 4,2,K&K 6,0,"A.P F 3,4",0,A.P F 5,4,13,8,16,24,37
83,84,"K&K 2,3,4,6",0,"K&K 2,3",13,K&K 4,6,K&K 6,0,"A.P F 3,4",15,A.P F 5,46,130,9,9,18,148
84,38,"K&K 2,3,4,6",6,"K&K 2,3",4,K&K 4,9,K&K 6,6,"A.P F 3,4",12,A.P F 5,44,82,26,10,36,118
85,25,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,105,14,3,17,122
86,11,"K&K 2,3,4,6",2,"K&K 2,3",0,K&K 4,6,K&K 6,2,"A.P F 3,4",1,A.P F 5,15,26,2,3,5,31
87,76,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,156,31,16,47,203
88,46,"K&K 2,3,4,6",10,"K&K 2,3",15,K&K 4,15,K&K 6,4,"A.P F 3,4",15,A.P F 5,74,120,7,7,14,134
89,0,"K&K 2,3,4,6",4,"K&K 2,3",0,K&K 4,0,K&K 6,7,"A.P F 3,4",10,A.P F 5,28,28,0,0,0,28
90,9,"K&K 2,3,4,6",1,"K&K 2,3",10,K&K 4,15,K&K 6,2,"A.P F 3,4",12,A.P F 5,52,61,11,1,12,73
91,12,"K&K 2,3,4,6",4,"K&K 2,3",14,K&K 4,13,K&K 6,6,"A.P F 3,4",0,A.P F 5,50,62,8,0,8,70
92,76,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,8,K&K 6,1,"A.P F 3,4",12,A.P F 5,67,143,13,6,19,162
93,5,"K&K 2,3,4,6",9,"K&K 2,3",2,K&K 4,3,K&K 6,3,"A.P F 3,4",5,A.P F 5,27,32,8,7,15,47
94,92,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",0,A.P F 5,80,172,21,25,46,218
95,60,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,13,"A.P F 3,4",6,A.P F 5,78,138,33,17,50,188
96,22,"K&K 2,3,4,6",2,"K&K 2,3",10,K&K 4,11,K&K 6,7,"A.P F 3,4",15,A.P F 5,58,80,10,0,10,90
97,27,"K&K 2,3,4,6",2,"K&K 2,3",15,K&K 4,15,K&K 6,5,"A.P F 3,4",15,A.P F 5,67,94,23,8,31,125
98,21,"K&K 2,3,4,6",2,"K&K 2,3",9,K&K 4,2,K&K 6,4,"A.P F 3,4",12,A.P F 5,36,57,8,12,20,77
99,17,"K&K 2,3,4,6",0,"K&K 2,3",11,K&K 4,5,K&K 6,9,"A.P F 3,4",0,A.P F 5,34,51,8,0,8,59
100,32,"K&K 2,3,4,6",14,"K&K 2,3",15,K&K 4,15,K&K 6,15,"A.P F 3,4",15,A.P F 5,80,112,31,11,42,154
101,9,"K&K 2,3,4,6",8,"K&K 2,3",12,K&K 4,5,K&K 6,1,"A.P F 3,4",7,A.P F 5,43,52,3,0,3,55
102,100,"K&K 2,3,4,6",15,"K&K 2,3",14,K&K 4,14,K&K 6,15,"A.P F 3,4",14,A.P F 5,78,178,44,61,105,283
103,72,"K&K 2,3,4,6",15,"K&K 2,3",14,K&K 4,15,K&K 6,11,"A.P F 3,4",15,A.P F 5,79,151,20,7,27,178
104,17,"K&K 2,3,4,6",4,"K&K 2,3",1,K&K 4,4,K&K 6,1,"A.P F 3,4",7,A.P F 5,22,39,5,3,8,47
105,33,"K&K 2,3,4,6",0,"K&K 2,3",15,K&K 4,15,K&K 6,2,"A.P F 3,4",15,A.P F 5,63,96,10,5,15,111
106,15,"K&K 2,3,4,6",0,"K&K 2,3",2,K&K 4,0,K&K 6,10,"A.P F 3,4",0,A.P F 5,16,31,3,3,6,37
107,20,"K&K 2,3,4,6",15,"K&K 2,3",0,K&K 4,5,K&K 6,5,"A.P F 3,4",9,A.P F 5,46,66,13,2,15,81
108,41,"K&K 2,3,4,6",7,"K&K 2,3",15,K&K 4,6,K&K 6,6,"A.P F 3,4",9,A.P F 5,50,91,23,25,48,139
109,20,"K&K 2,3,4,6",0,"K&K 2,3",3,K&K 4,4,K&K 6,0,"A.P F 3,4",0,A.P F 5,10,30,5,0,5,35
110,52,"K&K 2,3,4,6",15,"K&K 2,3",15,K&K 4,15,K&K 6,5,"A.P F 3,4",13,A.P F 5,78,130,23,18,41,171
111,8,"K&K 2,3,4,6",0,"K&K 2,3",1,K&K 4,6,K&K 6,4,"A.P F 3,4",0,A.P F 5,15,23,2,0,2,25
112,37,"K&K 2,3,4,6",2,"K&K 2,3",7,K&K 4,12,K&K 6,1,"A.P F 3,4",2,A.P F 5,31,68,16,9,25,93
113,34,"K&K 2,3,4,6",8,"K&K 2,3",15,K&K 4,15,K&K 6,0,"A.P F 3,4",12,A.P F 5,67,101,13,17,30,131
